Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet
100140,b,64.998,58.011,1.974,2.165,1.974,65.052,1.432,-1.398,26.754,-0.518,38.298,-1.026,32.432,97.488
100163,b,79.383,41.747,26.659,1.398,26.659,58.594,1.299,-0.786,25.487,0.084,33.107,-1.052,47.914,130.835
100165,b,93.147,103.261,21.442,2.992,21.442,78.767,1.477,-1.36,31.796,-2.246,46.97,-0.563,49.852,136.474
100168,b,77.352,63.501,1.217,1.918,1.217,76.15,1.07,-1.412,36.781,-1.759,39.369,-1.31,46.067,133.307
100171,b,68.732,110.173,3.999,3.4,3.999,55.725,1.7,-1.367,20.638,1.079,35.087,-1.687,36.937,84.074
100173,b,106.01,45.032,18.537,1.417,18.537,65.599,1.464,-1.356,26.619,-1.881,38.98,-0.974,74.56,219.259
100193,s,75.248,23.191,1.677,0.857,1.677,55.613,1.14,-1.407,25.987,-1.746,29.626,-1.963,49.452,63.891
100194,b,80.862,50.298,3.457,2.033,3.457,62.808,2.04,-1.331,20.661,-2.405,42.147,-2.268,41.212,108.003
100203,b,82.09,50.228,1.608,1.503,1.608,71.211,0.969,-1.414,36.169,0.9,35.042,1.505,54.041,117.802
100227,b,71.311,43.906,30.682,1.524,30.682,59.949,1.533,-0.785,23.671,-0.357,36.278,0.609,35.385,104.297
100254,b,72.374,54.448,2.864,1.982,2.864,47.879,1.379,-1.261,20.126,0.822,27.753,-1.13,47.268,135.988
100268,b,81.67,27.308,2.126,0.937,2.126,58.64,1.167,-1.414,27.055,1.511,31.585,2.135,54.524,46.87
100272,s,158.871,100.936,3.395,1.526,3.395,125.015,0.776,-1.413,70.384,0.798,54.631,2.188,118.663,103.183
100276,b,63.975,92.267,3.615,2.819,3.615,55.544,1.1,-1.405,26.449,2.153,29.095,-0.264,38.84,112.057
100289,b,76.254,51.567,29.376,1.763,29.376,64.868,1.063,-1.106,31.451,-1.84,33.417,-1.268,43.641,133.007
100292,b,56.121,55.569,2.79,2.138,2.79,57.015,0.911,-1.414,29.84,0.987,27.175,-0.08,36.311,83.822
100293,b,95.014,33.263,3.094,1.117,3.094,63.336,1.937,-1.361,21.568,-1.086,41.768,-0.369,55.269,120.039
100299,b,62.898,82.669,4.11,2.78,4.11,52.825,1.454,-1.406,21.523,0.287,31.302,-2.025,35.402,104.817
100323,b,60.117,42.002,2.538,1.707,2.538,54.744,1.0,-1.414,27.37,1.194,27.374,0.756,39.609,93.473
100330,b,83.379,40.249,33.631,1.093,33.631,78.808,0.657,-1.162,47.549,-1.342,31.259,-1.118,55.894,147.663
100331,b,163.845,79.83,27.628,2.04,27.628,97.198,2.996,-1.089,24.325,-0.223,72.873,-1.297,92.299,208.981
100346,b,65.461,77.352,0.547,2.552,0.547,61.927,1.257,-1.403,27.434,-0.523,34.493,-2.226,36.275,50.919
100350,b,86.317,73.988,0.555,2.532,0.555,79.536,2.06,-1.338,25.99,-2.076,53.546,-1.467,36.725,60.21
100358,b,83.245,33.679,0.757,1.127,0.757,61.813,1.219,-1.407,27.857,-1.727,33.956,-2.249,53.603,64.653
100379,b,66.961,57.687,1.615,2.109,1.615,58.207,1.298,-1.395,25.329,-0.526,32.878,0.702,38.187,48.004
100389,b,74.707,51.065,1.122,1.864,1.122,62.801,1.553,-1.386,24.602,-2.104,38.199,-1.478,40.495,94.806
100394,b,102.487,131.878,3.508,2.441,3.508,139.539,1.157,-1.412,64.696,-0.717,74.842,-0.427,47.49,163.411
100397,b,78.504,81.141,2.338,2.163,2.338,91.882,0.994,-1.414,46.086,0.324,45.796,0.279,45.221,102.555
100404,b,81.021,24.592,3.292,0.837,3.292,58.38,1.124,-1.39,27.479,1.318,30.9,1.972,53.707,62.1
100409,b,64.436,57.533,21.103,1.743,21.103,76.461,0.671,-1.401,45.77,1.891,30.691,1.721,38.413,101.149
100466,b,54.018,56.478,0.161,2.366,0.161,50.634,1.264,-1.405,22.369,-0.172,28.265,-1.602,30.259,34.377
100490,b,71.131,71.305,2.151,2.432,2.151,61.452,1.435,-1.383,25.237,-0.903,36.214,-2.464,38.893,95.133
100500,b,64.299,64.676,22.679,2.611,22.679,66.775,1.01,-1.405,33.224,-1.958,33.551,-2.131,38.209,75.256
100509,b,95.525,94.563,41.223,2.66,41.223,96.835,1.241,-1.414,43.212,0.67,53.623,0.991,64.932,206.821
100513,b,97.192,32.645,3.392,1.128,3.392,65.263,2.149,-1.3,20.727,-0.692,44.535,-0.91,54.199,69.884
100518,b,95.48,86.185,1.32,2.791,1.32,81.101,2.442,-1.295,23.563,0.9,57.538,2.188,40.73,108.521
100544,b,74.838,235.103,1.385,4.596,1.385,61.119,1.848,-1.344,21.463,1.768,39.656,-2.393,37.866,39.962
100565,b,125.447,73.708,27.195,2.745,27.195,79.571,2.759,-1.188,21.168,-1.016,58.403,-1.8,67.645,86.278
100570,b,67.711,46.455,1.308,1.786,1.308,59.055,1.329,-1.395,25.355,0.403,33.701,0.862,38.155,68.036
100604,b,87.817,67.385,3.434,1.956,3.434,64.781,1.371,-1.385,27.326,1.277,37.455,-0.386,53.566,117.159
100609,b,71.83,51.295,6.523,1.889,6.523,49.237,1.319,-1.25,21.231,0.295,28.006,2.048,46.355,88.402
100620,b,75.7,44.489,19.973,1.626,19.973,53.887,1.233,-1.049,24.137,0.808,29.751,-0.431,48.177,173.219
100640,b,69.108,49.132,4.506,2.053,4.506,57.924,1.641,-1.386,21.929,-1.124,35.996,-0.652,37.522,61.038
100643,b,88.827,60.541,4.842,2.303,4.842,72.543,2.383,-1.346,21.446,-0.333,51.096,-0.268,41.382,133.898
100653,b,83.961,17.618,1.189,0.668,1.189,55.047,1.624,-1.352,20.977,-1.139,34.07,-1.307,52.365,43.131
100654,b,75.605,53.437,1.358,2.004,1.358,64.147,1.741,-1.374,23.405,-1.487,40.743,-0.961,38.764,36.479
100660,b,132.022,82.066,19.102,2.351,19.102,97.389,2.468,-1.115,28.08,0.578,69.308,0.303,63.02,222.021
100682,b,139.242,93.489,29.129,2.34,29.129,114.759,3.794,-1.086,23.937,-0.037,90.823,0.89,53.452,105.753
100685,b,145.292,54.904,44.789,0.924,44.789,124.483,1.351,-1.152,52.944,0.662,71.539,0.687,74.041,248.994
100688,b,69.635,49.746,0.493,2.032,0.493,60.278,1.747,-1.367,21.941,0.806,38.337,0.514,34.745,59.797
100707,b,92.693,65.348,2.875,1.828,2.875,83.743,1.412,-1.401,34.719,-1.724,49.024,-1.735,50.296,131.552
100752,b,119.476,69.353,66.984,2.51,66.984,72.049,1.376,-1.19,30.323,1.122,41.726,1.612,86.104,209.969
100755,b,87.251,129.577,19.393,2.723,19.393,105.977,0.851,-1.406,57.26,1.713,48.717,0.206,64.647,193.12
100762,b,72.719,72.528,3.485,2.346,3.485,56.474,1.173,-1.395,25.99,0.483,30.483,2.428,46.543,67.658
100764,b,87.105,69.223,2.931,2.196,2.931,59.179,1.677,-1.365,22.104,-0.347,37.075,-2.221,53.269,56.369
100771,b,59.884,66.665,3.211,2.204,3.211,64.94,0.776,-1.411,36.564,-0.304,28.376,-1.565,40.66,87.799
100792,b,87.216,63.186,3.147,2.266,3.147,73.237,2.075,-1.352,23.82,0.662,49.417,0.257,41.608,122.88
100817,b,80.699,37.332,0.786,1.175,0.786,64.28,0.848,-1.411,34.789,-0.731,29.491,0.025,58.531,91.421
100845,b,74.156,220.177,2.097,4.195,2.097,64.636,1.189,-1.405,29.522,1.629,35.115,-2.21,44.591,77.673
100849,b,87.42,80.952,0.585,2.652,0.585,76.933,2.118,-1.335,24.67,-0.832,52.263,0.383,38.732,96.829
100855,b,81.201,97.459,1.397,2.564,1.397,66.004,1.074,-1.414,31.821,-0.324,34.183,1.893,53.52,74.631
100857,s,90.371,70.82,30.457,1.902,30.457,89.55,2.352,-1.396,26.713,-2.383,62.838,-1.58,36.471,85.065
100858,b,114.851,77.656,4.776,2.413,4.776,91.173,2.782,-1.242,24.104,-0.933,67.069,-1.499,50.006,107.635
100876,b,94.734,54.781,23.797,1.977,23.797,64.909,1.564,-1.388,25.318,-1.503,39.591,-0.894,63.7,82.607
100885,b,79.512,89.205,0.922,2.654,0.922,71.634,1.576,-1.382,27.81,0.149,43.824,1.84,40.579,76.202
100896,b,47.933,78.588,1.183,2.92,1.183,51.834,1.064,-1.412,25.109,1.765,26.725,-0.34,26.851,29.869
100900,b,66.497,26.766,23.556,1.045,23.556,53.518,1.396,-0.876,22.337,0.717,31.181,1.137,35.547,107.518
100904,b,58.869,93.769,1.131,2.284,1.131,106.984,0.441,-1.325,74.244,-1.286,32.74,-1.957,61.8,98.444
100914,b,75.871,50.388,8.552,1.461,8.552,72.753,0.709,-1.322,42.582,-0.922,30.171,-1.688,58.491,135.851
100926,b,70.313,28.957,0.813,1.126,0.813,54.143,1.102,-1.413,25.759,2.014,28.385,1.881,46.734,60.02
100931,b,87.525,73.923,1.061,2.271,1.061,69.542,1.722,-1.36,25.545,-1.178,43.997,0.277,46.908,40.447
100968,b,94.846,119.369,2.857,2.832,2.857,97.46,1.523,-1.379,38.626,0.469,58.834,1.994,42.887,103.151
100985,b,89.426,75.853,0.466,1.927,0.466,92.287,1.048,-1.414,45.054,-0.193,47.233,-0.29,53.108,127.958
100988,b,76.654,62.361,1.32,2.228,1.32,71.759,1.705,-1.361,26.527,0.228,45.232,0.393,35.498,102.118
100993,s,100.409,45.72,1.982,1.433,1.982,65.951,1.84,-1.372,23.219,-2.32,42.732,-1.244,60.785,88.407
100997,b,77.947,87.548,1.396,2.464,1.396,61.571,1.046,-1.412,30.098,2.107,31.473,-0.064,52.013,55.672
100999,b,74.462,76.261,3.949,2.562,3.949,58.985,1.576,-1.354,22.898,0.074,36.087,-1.802,41.208,107.334
101023,s,97.597,66.538,9.11,1.7,9.11,79.645,1.273,-1.381,35.037,-1.087,44.608,-2.222,56.479,84.385
101027,b,99.642,93.018,27.752,2.711,27.752,96.262,1.366,-1.402,40.692,-0.708,55.57,-0.806,52.882,141.987
101044,b,90.731,94.117,3.049,2.604,3.049,95.904,1.671,-1.383,35.901,1.097,60.003,0.405,38.529,118.962
101047,b,119.097,107.054,2.783,3.271,2.783,93.78,3.303,-1.213,21.792,-0.318,71.989,1.332,49.386,63.036
101059,b,79.702,30.367,8.16,0.983,8.16,62.658,0.911,-1.322,32.794,-1.29,29.864,-0.73,57.678,146.055
101060,b,85.489,46.317,19.398,1.83,19.398,57.822,1.739,-1.156,21.114,-1.07,36.708,-0.346,50.152,180.857
101066,b,86.378,38.105,6.731,1.281,6.731,56.815,1.527,-0.085,22.48,-0.42,34.336,-1.701,54.484,124.01
101079,b,62.939,36.304,27.104,1.365,27.104,53.281,1.115,-0.919,25.186,1.704,28.094,0.75,46.916,72.777
101081,b,98.032,132.136,23.384,3.475,23.384,80.961,2.051,-1.397,26.54,-0.776,54.422,1.556,51.98,168.318
101087,b,109.594,94.533,7.341,2.538,7.341,97.65,2.218,-1.277,30.343,0.429,67.306,-0.517,45.8,64.487
101090,b,81.378,223.359,3.238,4.381,3.238,68.07,2.058,-1.319,22.257,-2.408,45.813,1.463,38.09,63.726
101093,b,79.225,69.228,19.446,2.165,19.446,54.876,1.602,-0.533,21.092,-0.685,33.784,1.454,47.065,117.626
101094,b,106.57,52.992,2.934,1.637,2.934,78.216,2.239,-1.323,24.145,-1.423,54.07,-1.61,55.048,58.855
101109,b,82.584,51.64,17.911,2.139,17.911,61.72,1.886,-1.396,21.384,0.128,40.336,0.259,49.467,129.164
101121,b,81.891,52.815,2.305,1.791,2.305,63.771,1.507,-1.37,25.439,-0.91,38.332,-1.849,46.866,71.432
101130,b,121.852,135.457,1.77,2.404,1.77,146.202,1.262,-1.403,64.641,-0.333,81.561,-0.346,55.621,92.073
101134,b,96.065,82.449,2.446,1.893,2.446,99.965,0.984,-1.413,50.394,-0.313,49.572,-0.725,59.598,89.869
101154,b,76.405,57.922,1.787,2.339,1.787,64.04,2.114,-1.314,20.562,-0.197,43.477,0.515,35.201,98.243
101161,b,76.72,21.791,7.894,0.698,7.894,63.512,0.834,-1.414,34.625,-0.087,28.887,0.161,52.394,94.88
101167,b,136.384,77.218,1.706,2.092,1.706,86.295,3.225,-1.241,20.427,-0.908,65.869,-2.383,71.974,100.156
101171,b,76.559,57.705,0.076,2.184,0.076,68.053,1.846,-1.356,23.912,-2.44,44.14,-2.407,36.075,63.687
101184,b,74.843,59.917,4.396,1.94,4.396,57.699,1.032,-1.395,28.392,-1.104,29.307,0.528,50.029,102.483
101196,b,83.596,42.332,2.634,1.511,2.634,63.381,1.601,-1.391,24.368,-0.897,39.014,-0.974,48.835,47.214
101206,b,75.877,54.787,0.072,1.926,0.072,62.784,1.467,-1.39,25.445,0.034,37.339,0.961,42.714,32.365
101213,b,64.334,118.544,1.744,3.352,1.744,59.686,1.302,-1.401,25.927,2.016,33.759,-0.708,35.727,49.936
101226,b,82.324,132.041,2.154,3.217,2.154,79.746,1.52,-1.379,31.64,-1.679,48.106,0.635,39.668,92.477
101237,b,82.59,50.246,1.505,1.892,1.505,64.762,1.911,-1.341,22.247,-0.365,42.515,-0.093,42.837,95.438
101240,b,76.625,55.388,1.185,1.817,1.185,70.613,1.255,-1.408,31.317,-0.765,39.297,-0.851,43.864,90.791
101241,b,111.223,224.081,2.439,3.589,2.439,113.231,1.61,-1.37,43.392,0.525,69.84,-2.19,48.877,133.199
101259,b,86.804,56.967,23.715,1.808,23.715,58.672,1.794,-0.602,21.003,1.138,37.67,-0.598,50.793,71.768
101269,b,71.827,42.19,24.885,1.468,24.885,62.968,0.817,-1.244,34.655,-1.055,28.313,-1.275,46.444,84.306
101273,b,75.409,94.45,2.076,2.477,2.076,89.84,1.137,-1.413,42.04,1.236,47.8,2.277,39.554,131.633
101275,b,70.573,56.266,1.237,2.049,1.237,60.037,1.378,-1.396,25.248,-1.001,34.789,-2.064,40.362,93.194
101279,b,65.336,49.459,1.038,2.101,1.038,56.81,1.747,-1.367,20.682,-1.958,36.128,-1.299,32.445,67.527
101283,b,114.045,117.219,4.521,2.587,4.521,110.162,1.643,-1.356,41.684,1.911,68.477,0.771,51.481,134.117
101287,b,59.133,53.717,0.501,2.213,0.501,55.446,1.365,-1.396,23.448,-0.673,31.998,-1.653,31.547,32.331
101289,b,64.358,113.87,35.43,2.118,35.43,125.117,0.597,-1.183,78.363,-0.202,46.754,-1.097,51.534,194.088
101290,b,74.932,54.586,22.571,1.349,22.571,88.861,0.688,-1.325,52.652,-1.255,36.21,-1.355,49.296,184.688
101298,b,107.982,75.996,2.208,2.751,2.208,84.54,3.187,-1.269,20.193,-0.062,64.347,0.751,45.927,70.275
101316,b,84.989,37.843,2.635,1.185,2.635,67.448,1.015,-1.41,33.476,0.762,33.972,0.973,57.139,84.522
101320,b,57.788,79.491,1.167,2.313,1.167,82.781,0.768,-1.401,46.822,0.531,35.959,1.286,38.194,115.618
101321,b,81.83,66.787,2.136,2.193,2.136,68.647,1.658,-1.359,25.824,1.444,42.823,0.309,42.368,91.506
101328,b,89.114,101.282,24.488,2.412,24.488,69.329,1.667,-0.873,25.992,0.471,43.336,-1.918,45.835,182.852
101344,b,104.418,72.371,4.672,1.871,4.672,91.4,1.445,-1.402,37.382,1.5,54.018,1.547,58.527,97.783
101375,s,241.033,39.842,10.606,0.58,10.606,149.603,2.348,-1.201,44.68,0.044,104.923,-0.397,138.598,232.547
101388,b,79.474,12.134,2.56,0.417,2.56,58.102,0.886,-1.379,30.8,-1.431,27.302,-1.72,58.03,152.623
101399,b,81.724,42.049,3.191,1.326,3.191,59.816,0.901,-1.364,31.463,0.901,28.353,2.158,59.979,77.575
101400,b,78.396,20.598,22.859,0.757,22.859,55.205,1.755,-0.446,20.042,1.281,35.163,1.987,46.854,142.42
101401,b,74.788,67.074,2.599,2.489,2.599,62.635,1.913,-1.327,21.505,1.911,41.13,0.572,36.02,71.626
101430,b,66.045,68.257,16.502,2.284,16.502,48.743,1.179,-0.304,22.373,-0.212,26.37,-2.49,42.085,90.561
101447,b,67.319,63.492,1.574,2.317,1.574,57.541,1.407,-1.387,23.908,1.934,33.634,0.466,37.534,45.649
101462,b,88.66,91.968,29.687,2.68,29.687,95.788,1.518,-1.413,38.042,-0.309,57.746,-0.044,49.912,157.776
101471,s,115.65,88.781,1.245,2.554,1.245,100.508,2.333,-1.303,30.156,-0.468,70.351,-0.216,48.879,150.432
101491,b,70.511,79.36,2.737,2.268,2.737,76.934,0.928,-1.414,39.896,2.122,37.039,0.951,42.753,138.16
101492,b,64.839,69.139,28.472,2.121,28.472,56.103,1.51,-0.564,22.35,1.47,33.753,-0.619,34.001,104.884
101501,b,83.525,70.618,1.279,1.767,1.279,88.201,0.718,-1.394,51.351,1.092,36.85,0.361,60.872,83.319
101508,b,71.81,84.284,1.188,2.692,1.188,59.266,1.533,-1.391,23.394,0.396,35.872,-1.694,39.904,55.428
101519,b,84.451,32.459,28.396,1.035,28.396,65.489,1.96,-0.983,22.123,-1.942,43.366,-1.118,45.577,99.2
101520,s,77.906,51.237,5.388,1.845,5.388,61.637,1.569,-1.405,23.991,-1.291,37.646,-0.435,45.599,168.704
101541,b,81.868,71.06,0.416,2.521,0.416,76.558,1.978,-1.34,25.704,2.406,50.854,1.858,34.843,38.922
101549,b,78.779,17.079,12.441,0.674,12.441,49.864,1.232,-0.483,22.343,-1.191,27.521,-0.534,56.609,152.768
101550,b,102.014,107.649,2.464,2.3,2.464,114.745,1.256,-1.408,50.862,1.083,63.883,1.664,50.966,103.484
101554,b,134.549,104.271,21.418,2.751,21.418,115.744,2.34,-1.388,34.656,-0.455,81.087,-0.312,61.202,111.051
101560,b,79.69,45.244,3.063,1.483,3.063,67.196,1.26,-1.408,29.734,-0.852,37.462,-0.658,47.179,185.7
101572,b,58.63,48.042,0.329,1.834,0.329,60.239,0.951,-1.413,30.874,-0.742,29.366,-0.514,37.019,82.022
101586,b,67.362,62.688,1.182,2.499,1.182,63.613,1.819,-1.366,22.564,0.03,41.048,-0.865,30.364,85.475
101593,b,73.714,60.061,3.864,2.002,3.864,51.666,1.25,-1.404,22.965,-1.187,28.7,0.794,47.646,83.329
101607,b,43.547,97.16,20.308,2.293,20.308,119.348,0.379,-1.092,86.551,1.296,32.797,1.371,72.188,216.459
101608,b,82.904,91.224,1.116,2.809,1.116,59.482,1.971,-1.345,20.018,0.057,39.464,2.409,45.977,79.403
101623,b,82.599,83.4,24.949,2.975,24.949,61.124,1.519,-1.291,24.261,-0.093,36.863,1.732,47.769,162.81
101631,b,81.362,41.147,21.674,1.45,21.674,61.143,1.561,-1.341,23.871,-0.767,37.271,-0.102,54.498,288.065
101641,b,98.197,131.306,1.034,3.036,1.034,87.964,1.803,-1.356,31.381,0.036,56.583,2.174,46.333,135.978
101645,b,89.808,62.36,1.029,2.234,1.029,73.918,2.241,-1.313,22.805,-0.462,51.113,-0.066,41.376,91.464
101649,s,143.12,56.21,4.393,0.988,4.393,119.924,0.736,-1.408,69.088,-0.238,50.836,-0.217,108.519,123.727
101651,b,79.116,34.489,19.821,1.464,19.821,51.49,1.378,-1.232,21.657,-0.515,29.833,-0.913,53.337,166.121
101671,b,98.057,82.301,3.293,1.774,3.293,104.363,0.792,-1.407,58.25,0.538,46.113,1.047,66.412,244.018
101695,b,57.372,86.407,28.768,2.286,28.768,104.704,0.375,-1.4,76.158,1.497,28.547,1.923,49.818,129.698
101730,b,73.51,37.369,2.837,1.513,2.837,56.183,1.765,-1.358,20.318,-2.031,35.865,-2.323,39.929,75.307
101732,b,76.027,91.492,3.878,2.597,3.878,68.958,1.177,-1.399,31.671,-1.406,37.288,0.461,44.175,127.518
101737,b,90.632,171.302,2.279,3.693,2.279,62.635,1.861,-1.341,21.893,-1.753,40.742,1.766,52.005,52.503
101738,b,57.274,95.005,31.823,2.621,31.823,79.663,1.015,-1.305,39.543,-2.133,40.121,-0.669,50.222,121.568
101741,b,82.469,63.213,2.979,2.51,2.979,68.17,2.306,-1.332,20.619,0.13,47.55,0.893,37.715,104.015
101746,b,91.27,26.416,6.192,0.865,6.192,62.537,1.557,-1.291,24.46,0.731,38.077,0.136,55.091,155.322
101750,b,82.865,46.398,2.582,1.426,2.582,60.9,0.98,-1.402,30.763,0.574,30.138,1.919,57.57,51.447
101765,b,97.619,35.133,11.636,1.151,11.636,67.744,2.089,-1.184,21.934,1.777,45.81,2.222,52.36,121.766
101777,b,77.377,13.31,22.299,0.532,22.299,49.865,1.116,-0.609,23.565,-1.325,26.3,-0.912,60.758,80.031
101790,b,58.843,99.22,25.007,3.293,25.007,62.219,1.111,-1.413,29.47,-1.919,32.749,0.218,43.516,92.934
101793,b,82.859,85.003,13.314,2.429,13.314,57.26,1.302,-1.19,24.879,2.307,32.381,-0.046,56.452,142.316
101800,b,69.532,60.529,0.937,2.048,0.937,70.577,1.231,-1.409,31.641,0.563,38.936,0.258,37.801,49.469
101803,s,84.901,102.652,2.724,2.581,2.724,106.96,1.339,-1.403,45.735,-1.559,61.225,-1.265,35.945,124.287
101848,b,76.429,46.79,1.151,1.441,1.151,69.457,0.772,-1.407,39.202,-1.855,30.255,-2.426,55.582,79.15
101866,b,79.056,87.752,20.114,2.054,20.114,77.991,0.763,-1.413,44.243,-0.504,33.748,-2.318,49.373,146.462
101874,b,91.886,75.317,20.128,2.42,20.128,65.342,1.63,-1.211,24.841,-0.01,40.501,-1.608,52.937,100.922
101896,b,69.231,62.07,19.281,2.126,19.281,59.666,1.127,-1.36,28.057,0.41,31.609,-0.98,51.941,182.746
101904,b,72.619,67.94,0.793,2.065,0.793,78.296,1.061,-1.413,37.981,-1.414,40.315,-1.751,41.399,61.538
101915,b,82.735,53.252,0.109,1.599,0.109,70.893,1.038,-1.414,34.789,0.718,36.103,-0.005,53.689,85.507
101938,b,95.034,31.86,1.835,0.831,1.835,78.435,0.678,-1.367,46.749,1.728,31.687,1.192,74.265,78.491
101941,b,92.093,95.172,0.706,2.634,0.706,101.481,1.7,-1.367,37.58,0.161,63.901,-0.006,35.572,107.588
101942,b,66.769,92.223,24.273,2.636,24.273,84.676,1.251,-1.404,37.62,-0.196,47.055,-1.295,43.931,145.687
101948,b,78.539,40.598,11.5,1.373,11.5,63.902,1.614,-1.378,24.447,0.407,39.455,0.992,41.196,53.244
101950,b,181.705,180.835,7.56,3.867,7.56,127.446,4.458,-0.29,23.349,0.656,104.097,-1.776,79.35,226.848
101956,b,72.464,95.758,5.97,2.3,5.97,91.429,0.803,-1.399,50.702,-2.119,40.727,-0.89,46.763,138.554
101958,b,94.355,88.549,0.794,2.452,0.794,78.07,1.79,-1.364,27.981,1.969,50.09,0.411,48.442,56.634
101962,b,98.851,66.913,1.477,2.301,1.477,76.302,2.591,-1.284,21.249,-1.023,55.053,-1.854,45.909,52.799
101989,b,82.161,78.062,21.361,2.63,21.361,51.012,1.288,-1.33,22.296,-1.732,28.716,0.571,60.89,102.416
102008,b,56.823,166.014,31.887,3.074,31.887,117.719,0.504,-1.22,78.272,-2.278,39.448,-0.275,83.508,259.501
102009,b,93.44,132.28,28.05,2.751,28.05,85.58,0.919,-1.283,44.605,-0.76,40.974,1.483,54.972,104.985
102030,b,98.369,77.99,17.745,2.056,17.745,89.95,1.259,-1.414,39.816,0.75,50.133,1.193,63.263,162.267
102038,b,56.632,109.802,0.12,3.377,0.12,55.861,1.305,-1.402,24.237,-1.338,31.624,1.354,29.932,32.583
102051,b,102.579,81.649,34.872,2.355,34.872,55.832,1.212,-0.02,25.241,1.808,30.591,-0.546,87.092,163.454
102059,b,121.688,321.942,29.514,3.79,29.514,99.201,1.047,-0.582,48.456,1.617,50.745,-2.17,73.111,123.196
102076,b,82.08,70.01,0.319,1.869,0.319,86.682,0.928,-1.413,44.97,-0.693,41.713,-0.913,51.991,69.718
102077,b,67.566,71.329,23.958,2.574,23.958,69.361,0.957,-1.413,35.437,-1.688,33.924,-0.873,47.247,107.43
102079,b,86.474,68.861,31.316,1.563,31.316,97.549,1.195,-1.401,44.436,-1.693,53.113,-1.431,39.05,105.052
102084,b,82.824,59.264,3.166,1.993,3.166,62.102,1.626,-1.349,23.65,0.455,38.452,1.778,47.063,52.401
102104,b,88.913,96.337,25.13,2.387,25.13,68.89,1.838,-0.957,24.276,-0.02,44.614,-2.336,44.306,167.135
102106,s,90.224,40.557,7.157,1.283,7.157,69.23,1.64,-1.387,26.226,-1.154,43.004,-0.838,50.143,80.331
102155,b,119.837,47.994,11.731,1.315,11.731,82.014,2.534,-1.282,23.21,1.011,58.804,0.176,62.05,140.897
102163,b,97.811,69.118,28.757,2.379,28.757,68.417,1.919,-0.985,23.437,0.525,44.98,1.714,53.176,114.428
102185,b,55.65,228.627,33.86,5.108,33.86,52.265,1.363,-1.414,22.119,2.33,30.146,-2.008,43.915,132.571
102187,b,85.847,50.454,31.562,2.126,31.562,61.261,2.059,-1.413,20.025,-2.312,41.236,-2.099,57.945,170.339
102207,b,62.034,53.153,21.746,1.495,21.746,76.928,0.573,-1.159,48.907,-0.548,28.021,0.238,47.578,168.318
102211,b,73.902,10.766,1.854,0.448,1.854,48.053,1.387,-0.033,20.13,-2.263,27.923,-1.815,48.912,53.977
102215,b,83.714,57.088,1.06,1.697,1.06,74.371,1.142,-1.41,34.714,-1.631,39.657,-1.111,50.597,138.499
102216,b,71.386,120.756,6.236,2.327,6.236,143.096,0.362,-1.307,105.06,0.384,38.037,1.013,89.82,162.482
