Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_all_pt
100434,b,93.254,47.951,1.366,1.523,44.029,114.507,1.569,-1.377,27.615,-1.186,43.328,-0.989,54.012,114.138,43.564,-2.576,43.564
100498,s,63.46,105.701,189.3,2.522,53.998,295.624,0.522,1.396,76.807,0.393,40.076,0.42,167.138,428.718,178.741,1.248,178.741
100548,b,82.166,33.685,41.523,1.164,2.638,96.926,1.763,-0.243,20.85,-0.743,36.754,0.356,51.086,166.442,39.322,-1.855,39.322
100567,b,65.757,43.645,46.393,1.867,112.717,117.709,1.546,-1.159,20.167,0.673,31.186,-0.259,61.355,123.688,66.356,2.686,66.356
100608,b,82.707,30.551,44.023,1.039,0.648,107.799,2.131,-0.405,20.549,-0.369,43.795,0.161,42.351,118.111,43.455,4.144,43.455
100616,b,94.165,94.706,30.962,2.263,29.034,102.601,1.989,-0.414,24.254,-2.164,48.238,0.088,46.574,157.8,30.109,-0.59,30.109
100623,b,86.743,30.668,38.504,1.273,2.479,88.91,1.078,-1.409,24.598,0.707,26.52,1.011,79.829,150.06,37.792,-0.662,37.792
100635,b,86.596,102.319,47.133,2.804,5.006,107.496,0.954,-0.944,33.273,-1.047,31.742,1.22,59.104,208.357,42.481,1.577,42.481
100687,s,92.485,47.133,53.657,2.042,3.26,105.295,1.628,-1.414,20.879,-0.952,33.999,-1.567,82.561,161.528,50.417,-0.906,50.417
100713,s,75.113,111.29,39.819,2.289,0.247,130.156,0.446,-1.312,62.626,-1.482,27.906,0.624,51.387,107.061,39.624,0.079,39.624
100714,s,177.847,97.239,115.528,1.752,21.543,211.446,1.097,-0.169,46.944,0.899,51.49,-0.839,169.293,275.463,113.012,-0.26,113.012
100730,b,94.352,67.072,53.147,2.99,9.976,115.833,1.584,-1.411,25.883,-0.211,41.005,0.308,66.275,175.237,48.946,1.378,48.946
100737,b,104.193,66.17,37.552,1.294,2.293,144.659,0.655,-0.988,64.517,0.102,42.264,-0.655,86.257,139.147,37.878,-0.228,37.878
100739,b,125.976,98.103,35.495,2.215,27.519,143.481,2.36,-0.91,29.548,2.164,69.732,0.729,56.999,121.609,44.201,2.475,44.201
100751,b,55.912,106.096,51.872,2.652,20.718,114.902,1.127,-1.011,37.805,0.1,42.62,-1.708,56.471,169.726,34.477,-2.842,34.477
101017,b,92.361,225.652,55.062,3.95,5.074,116.234,1.342,-0.279,28.008,-2.023,37.575,1.89,63.625,179.673,50.651,1.637,50.651
101063,b,74.443,16.564,36.302,0.558,7.857,98.5,0.913,-0.316,30.908,1.719,28.211,1.282,52.052,160.417,39.381,2.075,39.381
101069,b,80.842,75.484,33.876,2.639,3.19,103.621,1.337,-1.414,29.387,1.628,39.303,0.471,58.972,121.118,34.931,-4.305,34.931
101114,b,126.343,41.055,40.7,0.861,12.267,145.762,1.161,-0.588,43.631,1.361,50.643,2.087,79.991,262.04,51.489,-0.629,51.489
101135,b,110.859,48.638,33.355,1.215,1.726,121.73,2.176,-1.027,27.925,0.169,60.763,0.786,50.571,111.682,33.042,2.336,33.042
101238,b,63.912,41.284,70.399,1.309,27.972,102.728,0.845,-0.077,32.661,0.764,27.607,1.963,51.176,124.949,42.46,1.937,42.46
101285,b,64.191,92.766,187.54,2.68,1.577,245.448,1.625,0.122,22.64,-2.159,36.793,0.235,167.31,304.102,186.015,-0.564,186.015
101294,b,54.155,82.372,51.181,2.21,22.513,122.635,0.907,-1.059,46.241,-0.299,41.93,-0.983,64.536,174.974,34.464,4.243,34.464
101313,b,106.766,98.554,68.239,3.115,31.136,108.372,2.043,-1.412,20.571,2.459,42.02,0.14,94.852,166.42,45.78,0.122,45.78
101324,b,94.468,57.0,73.695,1.947,26.046,109.336,1.477,-0.638,21.818,-1.99,32.222,-0.237,98.314,156.256,55.297,-1.461,55.297
101361,b,82.702,11.655,26.118,0.458,76.007,101.401,1.506,-0.058,20.189,1.633,30.412,2.09,59.036,98.764,50.8,-0.189,50.8
101387,b,78.238,55.483,12.408,1.914,20.067,86.264,1.038,-1.371,26.769,-1.025,27.795,0.563,57.158,213.264,31.701,-1.415,31.701
101475,b,83.479,31.849,93.478,1.001,16.237,171.313,1.35,-0.042,26.374,0.674,35.615,-0.3,86.072,202.501,109.324,1.934,109.324
101480,b,108.337,74.052,33.74,1.711,2.651,119.51,2.317,-1.414,26.178,-0.447,60.661,-2.008,49.811,157.113,32.671,-3.468,32.671
101511,b,98.98,126.309,30.01,2.367,6.162,168.863,1.046,-1.396,65.793,-1.715,68.841,-2.075,68.91,132.133,34.229,-1.203,34.229
101648,b,62.879,62.559,58.163,3.182,17.626,109.058,1.635,1.414,23.007,-1.47,37.607,-2.178,54.816,182.153,48.444,-0.077,48.444
101749,b,75.061,63.323,38.241,2.074,16.742,91.388,1.798,-1.109,21.843,-1.193,39.272,0.413,52.775,156.302,30.272,-2.729,30.272
101788,b,86.26,39.996,61.899,0.99,23.431,133.541,0.488,-0.663,58.795,-1.999,28.682,-1.465,66.134,315.564,46.065,-1.068,46.065
101860,b,71.096,49.506,60.567,1.716,26.363,85.964,1.026,-0.14,25.453,2.124,26.117,0.438,69.473,123.999,34.394,1.889,34.394
101893,b,92.433,37.678,52.541,1.314,17.517,112.55,1.943,-1.104,22.111,-0.668,42.966,-0.697,73.506,179.606,47.474,0.72,47.474
101923,b,80.905,95.101,32.569,3.087,1.549,81.997,1.431,-0.951,20.048,-2.11,28.688,0.67,57.073,124.9,33.26,1.136,33.26
102052,b,141.057,96.187,55.87,3.078,38.676,145.623,2.707,-1.411,27.18,1.44,73.57,0.652,80.86,202.472,44.874,1.974,44.874
102055,b,104.909,80.039,37.336,2.36,2.203,110.853,2.441,-0.643,21.545,0.105,52.592,-1.552,53.527,132.271,36.715,-1.41,36.715
102116,b,147.683,62.884,37.074,1.745,6.113,125.294,2.335,-1.372,24.65,0.012,57.552,-0.966,101.085,133.786,43.092,2.966,43.092
102345,b,118.183,99.289,35.462,2.008,0.34,121.711,1.574,-0.114,33.503,0.899,52.734,-1.108,68.61,77.22,35.473,-0.383,35.473
102348,b,84.303,29.296,124.919,0.967,17.285,169.351,1.039,0.034,29.023,1.516,30.159,0.658,105.213,228.472,110.169,2.312,110.169
102351,b,82.031,48.942,47.777,1.822,6.204,98.504,1.57,-0.435,21.354,-0.837,33.527,-2.122,53.729,137.395,43.622,-1.422,43.622
102374,b,141.924,64.809,60.28,1.361,6.827,174.777,4.086,-0.659,22.309,-0.949,91.156,0.308,55.844,183.216,61.311,0.884,61.311
102435,b,107.147,107.642,61.466,2.179,37.276,164.746,0.709,-1.25,71.789,1.522,50.929,1.316,57.637,175.906,42.027,0.031,42.027
102443,b,79.361,74.731,30.296,1.934,5.786,113.364,1.338,-1.251,33.087,-1.588,44.279,-0.2,48.087,186.182,35.998,2.814,35.998
102482,b,81.53,40.09,58.652,1.174,26.409,131.634,1.809,-0.272,24.459,-1.907,44.255,-0.846,54.083,227.938,62.919,-0.562,62.919
102524,b,96.509,93.479,83.362,2.118,26.679,220.786,1.874,-1.265,39.131,1.506,73.337,1.425,80.494,258.369,108.318,2.502,108.318
102540,b,92.573,88.576,53.893,2.77,1.816,134.617,0.84,-1.38,44.369,-0.606,37.259,0.375,63.494,115.94,52.989,-0.933,52.989
102670,b,130.175,75.14,15.428,2.891,78.986,152.741,3.263,-1.327,20.918,-0.425,68.245,-0.544,62.741,168.868,63.578,-1.319,63.578
102703,b,81.631,73.346,38.24,2.176,0.182,111.487,1.001,-1.343,36.697,2.352,36.722,1.219,74.083,81.829,38.069,-0.578,38.069
102742,b,82.609,43.612,19.216,1.299,126.547,182.891,0.575,-1.303,47.202,-0.504,27.141,-0.217,78.857,186.762,108.548,2.702,108.548
102795,b,87.971,29.491,39.431,0.986,4.423,97.941,1.995,-0.502,20.757,0.962,41.414,0.117,56.374,177.673,35.769,-1.844,35.769
102827,b,101.762,37.038,46.331,0.965,6.168,127.471,0.861,-0.812,42.837,2.058,36.878,2.269,70.637,155.573,47.755,1.421,47.755
102890,b,77.37,71.261,44.728,2.796,53.778,124.968,1.673,-1.414,27.878,1.105,46.649,0.948,54.03,230.297,50.441,2.595,50.441
102919,b,104.547,42.297,110.841,0.769,29.364,202.615,1.747,-0.228,42.327,2.085,73.963,2.351,70.536,209.075,86.326,3.008,86.326
102957,b,146.211,85.574,71.874,2.642,36.559,134.345,1.65,-1.211,32.581,1.3,53.754,0.59,100.169,220.315,48.01,-1.33,48.01
102987,b,114.103,69.796,35.367,1.796,2.793,125.424,3.523,-1.357,20.312,0.626,71.566,-0.713,47.359,115.313,33.546,3.061,33.546
103022,b,108.759,18.774,92.251,0.546,60.837,104.64,1.771,-0.15,25.729,0.29,45.577,0.686,98.496,246.552,33.334,2.394,33.334
103024,b,113.583,90.722,0.997,2.377,30.394,108.677,2.342,-1.304,23.18,-0.321,54.286,1.575,61.444,63.633,31.211,-2.582,31.211
103065,b,86.443,66.958,40.015,2.464,27.277,120.695,2.058,-1.408,20.315,1.101,41.817,-0.335,63.361,203.502,58.563,2.966,58.563
103070,b,291.542,212.75,60.056,2.687,0.44,285.605,2.243,-0.831,69.632,1.538,156.205,0.886,136.206,304.357,59.767,1.631,59.767
103095,b,91.476,75.134,49.311,1.379,18.608,168.238,0.66,-0.974,72.453,2.259,47.825,2.439,74.299,226.908,47.96,0.3,47.96
103115,b,85.57,24.502,31.458,0.735,0.851,102.258,2.139,-1.398,22.312,1.288,47.734,0.572,38.395,67.599,32.211,-1.328,32.211
103140,b,62.746,72.868,106.429,1.614,24.126,211.752,0.724,0.005,47.783,2.16,34.592,0.553,64.598,248.979,129.377,-0.349,129.377
103143,b,73.707,83.691,2.797,2.584,49.586,106.697,1.285,-1.38,23.883,-0.582,30.685,1.756,46.213,125.166,52.128,1.994,52.128
103147,b,82.852,46.431,5.936,1.497,57.061,109.203,1.012,-1.045,28.167,-0.055,28.503,1.432,60.21,136.313,52.533,-0.133,52.533
103178,b,80.014,69.596,67.101,2.161,1.797,130.937,0.953,-0.272,32.007,-0.669,30.512,-2.284,58.064,167.319,68.418,0.271,68.418
103183,b,66.664,240.062,50.294,2.945,3.605,279.571,0.292,-1.334,178.391,-0.657,52.151,-2.113,93.234,352.764,49.028,2.073,49.028
103187,b,81.565,43.574,84.791,1.058,0.609,170.202,0.679,-0.23,51.218,-1.34,34.783,-0.826,56.093,186.413,84.201,1.048,84.201
103198,b,99.062,145.174,38.435,3.232,8.225,111.151,1.357,-0.908,29.338,1.641,39.817,-1.266,61.737,159.224,41.996,-1.891,41.996
103235,b,94.808,76.388,62.243,2.464,0.992,117.478,1.392,-0.475,23.507,-1.915,32.719,0.155,72.764,143.946,61.251,-0.812,61.251
103261,b,90.045,87.551,64.647,2.754,22.9,119.901,0.685,-1.338,44.713,1.169,30.607,-0.184,70.159,218.179,44.582,0.862,44.582
103313,b,179.669,86.604,103.521,3.135,27.351,186.623,2.782,-1.397,22.21,-1.381,61.792,-0.217,139.782,270.628,102.621,-0.823,102.621
103333,b,394.67,206.237,39.286,2.865,2.75,295.039,6.029,-0.719,36.685,0.472,221.169,-0.689,176.553,336.13,37.185,0.897,37.185
103403,b,87.24,129.11,33.067,2.607,2.462,109.487,0.651,-0.725,47.607,-2.382,31.016,0.182,61.678,116.332,30.864,-3.391,30.864
103506,b,93.746,70.251,77.855,1.588,20.344,173.479,0.527,-0.91,67.821,-2.182,35.765,-2.179,61.545,202.618,69.892,0.105,69.892
103528,b,89.727,48.728,30.797,1.635,0.648,86.748,0.989,-1.051,28.394,-0.703,28.086,0.698,71.69,98.002,30.268,-0.328,30.268
103543,b,64.166,44.176,18.828,1.983,28.117,95.906,1.23,-1.212,22.027,-1.109,27.1,-0.2,38.587,87.821,46.779,-2.809,46.779
103559,b,71.745,247.169,51.501,4.01,20.168,142.499,1.352,-1.406,46.856,-0.552,63.33,2.377,56.994,136.696,32.313,2.943,32.313
103618,b,80.308,27.129,52.845,0.834,23.224,118.025,1.706,-0.286,24.579,-1.532,41.924,-0.838,52.355,198.613,51.522,-2.118,51.522
103669,b,132.726,82.958,25.582,1.777,60.365,148.01,2.002,-1.196,37.468,1.43,75.003,1.721,59.486,257.218,35.538,0.234,35.538
103687,s,48.904,172.491,24.241,3.14,28.866,185.497,0.402,-1.388,108.508,1.155,43.668,-0.27,72.733,229.103,33.321,0.068,33.321
103711,s,62.41,59.296,87.935,1.216,32.607,189.499,0.335,-0.288,87.562,0.308,29.303,-0.224,84.716,241.818,72.634,-0.252,72.634
103822,b,78.496,63.306,38.319,2.183,3.039,101.701,0.802,-1.22,33.497,0.678,26.854,2.051,58.356,112.022,41.35,1.53,41.35
103836,b,70.728,151.661,60.432,4.079,3.325,130.264,0.781,-1.414,40.814,-2.388,31.88,0.361,62.494,170.518,57.57,-1.623,57.57
103898,b,141.796,53.431,38.965,1.176,4.278,140.27,2.319,-0.906,31.6,-0.673,73.292,-0.752,68.709,124.029,35.378,0.052,35.378
103924,b,51.831,48.18,82.23,1.495,32.197,126.204,1.543,-0.223,27.86,0.02,42.998,-0.493,61.583,179.212,55.346,0.063,55.346
103956,b,124.513,109.675,72.303,2.516,23.645,166.451,1.59,-1.411,45.36,-1.881,72.134,-2.148,95.923,366.832,48.957,1.983,48.957
103981,b,70.682,99.935,120.963,3.19,8.109,232.053,2.834,-1.414,28.208,0.088,79.935,0.73,82.162,340.781,123.91,-0.961,123.91
103983,b,92.791,54.597,52.691,2.398,81.847,93.396,1.337,-1.398,25.331,-2.103,33.867,-2.1,75.599,331.988,34.197,1.143,34.197
104014,b,69.77,43.255,34.975,1.783,4.709,91.024,1.609,-1.302,21.058,-0.967,33.893,-0.311,55.047,109.599,36.073,-3.365,36.073
104080,b,76.621,46.247,48.696,1.503,24.974,88.112,1.302,-0.223,24.81,-0.762,32.312,-2.222,59.614,112.156,30.99,-3.392,30.99
104095,s,182.025,90.323,78.307,3.091,15.951,194.553,3.862,1.392,20.632,2.131,79.678,1.167,114.563,187.977,94.243,1.386,94.243
104141,b,122.935,37.577,57.947,0.843,27.062,126.128,1.032,-0.643,45.151,0.601,46.613,0.508,82.884,147.815,34.364,1.022,34.364
104142,b,86.324,56.207,50.662,1.665,25.953,129.443,2.41,-0.565,20.215,-2.282,48.723,-0.781,51.739,192.096,60.505,0.185,60.505
104203,b,64.536,82.649,60.508,3.665,8.897,119.347,1.511,1.414,22.446,0.969,33.911,-0.951,59.359,198.013,62.99,-2.123,62.99
104212,b,73.917,44.091,60.635,1.46,3.25,128.276,2.267,-0.842,21.553,-0.319,48.855,0.133,54.098,167.594,57.868,1.466,57.868
104274,b,74.31,54.131,38.365,2.649,3.895,89.225,1.314,-1.385,20.663,-0.542,27.157,-1.812,57.98,119.447,41.405,-1.952,41.405
104287,s,102.273,126.384,94.454,1.53,1.758,283.378,0.59,-0.786,117.722,-1.511,69.447,-1.192,85.869,247.448,96.209,-0.961,96.209
104330,b,76.49,43.881,81.927,2.28,1.654,130.866,1.318,-1.39,20.402,0.026,26.887,-0.523,98.659,163.44,83.577,0.205,83.577
104336,b,83.311,86.558,32.964,3.187,0.245,109.661,1.744,-1.412,27.965,1.562,48.762,0.395,45.492,83.83,32.934,-1.006,32.934
104369,b,75.715,28.878,51.314,0.901,2.148,120.787,0.642,-0.595,41.247,-1.062,26.496,-1.226,55.824,146.916,53.044,-2.432,53.044
104423,b,81.109,68.435,37.874,1.448,18.759,139.339,0.478,-1.414,62.81,-0.347,29.996,-1.791,54.86,197.86,46.532,2.321,46.532
104434,b,77.431,34.967,6.2,1.25,27.545,84.007,1.337,-1.155,22.889,-0.149,30.605,1.052,49.005,115.512,30.513,-2.61,30.513
104458,b,73.337,20.521,56.186,0.785,0.13,108.292,1.376,-0.126,21.954,1.99,30.219,1.301,56.027,82.778,56.12,3.904,56.12
104497,b,75.441,38.661,90.486,1.573,2.869,143.34,1.574,-0.754,21.191,-0.944,33.35,-0.404,98.42,168.393,88.799,-1.634,88.799
104507,b,92.87,27.356,47.75,0.627,25.156,158.469,0.483,-0.162,61.788,1.426,29.837,0.813,76.206,208.351,66.844,2.353,66.844
104562,b,79.834,36.672,36.457,1.433,5.788,84.886,1.012,-0.975,26.858,1.931,27.181,1.324,58.629,115.234,30.847,3.158,30.847
104585,b,68.01,34.405,31.389,1.311,2.404,84.412,1.111,-0.647,24.596,1.109,27.315,2.101,43.288,126.201,32.501,2.343,32.501
104587,s,81.562,44.617,31.01,1.173,45.336,107.271,0.597,-0.255,46.646,-0.658,27.831,-1.817,64.331,126.226,32.794,2.756,32.794
104602,b,69.518,36.343,128.821,1.402,1.877,183.747,1.396,-0.282,23.565,-0.085,32.909,0.269,126.119,212.8,127.273,-2.095,127.273
104607,s,46.713,114.814,2.162,2.708,88.23,199.229,0.325,-1.243,82.756,-0.829,26.865,0.659,68.263,165.157,89.608,1.253,89.608
104611,b,118.305,133.855,129.999,2.675,39.254,258.635,0.566,-0.384,58.792,-0.604,33.266,1.616,112.884,399.69,166.577,1.832,166.577
104698,b,82.276,96.296,43.264,2.387,3.377,111.481,1.033,-0.764,35.209,-2.26,36.369,-0.204,47.089,120.955,39.903,-1.037,39.903
104729,b,76.63,107.723,45.583,2.826,3.363,133.92,0.507,-1.402,57.245,-1.823,28.995,-0.107,85.931,188.323,47.68,0.897,47.68
104733,b,125.737,84.594,124.191,2.298,37.245,170.814,1.366,-0.042,29.121,1.003,39.776,-0.867,120.561,427.09,101.918,-0.09,101.918
104779,b,77.599,144.116,6.894,3.611,27.0,90.197,1.513,-1.326,22.503,-1.509,34.047,1.798,46.103,103.642,33.647,-0.121,33.647
104791,b,158.329,116.288,36.985,3.028,64.954,157.107,1.972,-1.234,41.116,0.971,81.081,0.706,77.339,127.821,34.91,-2.555,34.91
104843,b,72.984,42.681,71.282,1.202,2.034,142.446,1.726,-0.141,25.908,-1.704,44.724,-0.599,51.436,138.085,71.815,-0.288,71.815
104986,b,100.047,54.389,1.697,1.56,32.974,111.517,1.561,-1.377,30.065,1.071,46.935,0.507,57.101,53.233,34.517,2.743,34.517
104988,b,118.531,160.692,42.381,2.661,26.87,215.638,1.516,-1.411,59.154,0.592,89.678,1.703,66.366,240.757,66.806,-2.662,66.806
104990,b,72.64,45.526,29.15,1.966,1.027,84.02,1.04,-1.414,26.417,-1.458,27.461,-1.85,59.916,101.661,30.142,2.131,30.142
105005,s,69.497,99.754,37.687,2.792,1.396,138.205,0.73,-1.413,57.531,-0.768,42.023,-1.283,58.693,115.356,38.65,0.893,38.65
105014,b,101.293,87.359,41.675,2.059,1.418,125.389,3.02,-1.225,21.137,-0.01,63.834,1.955,40.344,143.583,40.418,-2.67,40.418
105016,b,80.388,132.936,25.923,3.282,4.462,85.444,1.635,-0.138,20.943,-1.577,34.233,1.703,50.624,99.067,30.269,0.729,30.269
105017,b,106.037,51.02,36.648,1.148,7.483,126.799,0.861,-1.09,49.302,0.685,42.437,1.243,66.334,156.543,35.061,0.28,35.061
105023,b,146.047,37.555,91.68,0.706,8.407,230.401,4.153,-0.132,25.588,2.424,106.266,1.731,54.412,200.481,98.548,1.745,98.548
105095,b,81.078,45.659,64.158,1.149,9.345,132.825,1.028,-0.125,37.292,-2.183,38.351,-1.064,58.926,182.397,57.182,-1.794,57.182
105120,b,86.913,88.633,54.345,2.729,2.574,116.373,0.731,-1.257,36.857,-0.9,26.924,1.065,72.021,139.468,52.592,-1.018,52.592
105142,b,90.533,50.342,67.456,3.146,28.095,89.925,1.398,1.413,20.552,1.827,28.724,2.356,74.493,143.719,40.649,0.616,40.649
105182,b,156.018,163.7,7.113,2.667,38.764,210.815,1.732,-1.383,63.924,-0.81,110.7,-0.907,60.503,270.155,36.191,-2.65,36.191
105188,b,77.768,57.346,46.962,2.713,22.189,90.01,1.141,-1.4,25.573,-1.957,29.174,-1.139,61.763,171.777,35.262,0.621,35.262
105189,b,73.413,170.086,32.755,3.192,2.789,104.821,0.756,-0.747,42.237,-1.487,31.935,1.652,48.469,137.145,30.648,-0.857,30.648
105230,b,86.738,130.111,59.788,4.015,0.236,124.864,1.64,1.412,24.728,0.558,40.547,-2.139,62.028,94.764,59.589,0.086,59.589
105271,b,82.542,67.669,61.216,2.323,2.179,131.699,2.34,-1.305,20.716,0.002,48.484,-1.257,67.371,106.78,62.499,-1.787,62.499
105286,b,85.358,82.995,48.75,2.981,8.613,112.517,1.01,-1.309,31.656,0.082,31.974,1.688,58.829,168.716,48.886,1.106,48.886
105292,b,73.456,17.891,63.692,0.538,4.658,124.991,0.981,-0.034,33.063,0.742,32.425,0.212,55.57,215.041,59.503,-2.451,59.503
105350,b,63.053,136.744,69.054,2.973,56.588,131.028,1.113,-1.244,47.066,-0.057,52.375,-1.845,79.074,320.157,31.587,-1.459,31.587
105358,b,82.978,15.358,6.691,0.532,24.749,87.855,1.392,-0.869,24.128,1.967,33.586,1.439,51.252,173.748,30.141,3.82,30.141
105375,b,66.12,42.056,103.247,1.2,4.398,176.999,1.857,-0.056,26.061,-0.248,48.394,0.488,73.625,212.346,102.544,-0.561,102.544
105376,b,83.952,119.83,57.075,2.405,4.654,159.204,0.411,-1.153,69.109,0.117,28.369,2.176,62.464,225.106,61.726,-0.091,61.726
105454,b,165.277,94.885,105.11,2.023,3.299,269.767,6.858,-1.414,21.056,0.996,144.405,0.606,59.653,160.93,104.306,2.751,104.306
105471,b,111.892,46.752,33.244,1.233,6.911,123.823,1.914,-0.913,29.089,-2.046,55.674,-2.269,56.311,160.533,39.059,0.713,39.059
105488,b,96.013,97.713,39.438,1.729,9.396,153.088,0.831,-1.27,63.43,0.355,52.702,1.443,58.142,207.766,36.956,-3.045,36.956
105510,b,86.294,27.038,30.842,0.786,1.373,102.589,1.038,-0.853,34.53,-1.716,35.845,-1.551,52.083,93.771,32.214,-3.192,32.214
105513,s,89.412,83.4,54.948,2.832,4.215,144.87,2.028,-1.414,29.291,0.175,59.413,0.493,59.452,208.152,56.166,0.744,56.166
105516,b,133.177,161.195,82.315,2.827,33.79,203.919,3.512,-1.411,32.455,0.798,113.99,-0.925,59.909,208.978,57.474,1.664,57.474
105520,b,103.765,65.724,34.765,1.957,28.379,127.915,2.889,-1.413,21.901,2.048,63.274,1.233,53.486,114.723,42.741,0.103,42.741
105557,b,146.936,223.293,33.644,3.978,4.876,141.983,3.227,-1.389,26.384,-1.03,85.144,1.988,71.919,125.495,30.455,1.054,30.455
105573,b,80.963,251.813,85.172,5.143,5.647,145.583,1.269,1.41,25.695,2.285,32.601,-2.016,79.003,182.382,87.287,-1.496,87.287
105614,b,82.418,45.601,40.795,1.223,2.327,112.262,0.858,-0.679,39.473,-0.181,33.857,-1.168,50.902,140.282,38.932,0.694,38.932
105658,b,112.359,149.705,88.111,3.171,23.417,214.995,0.978,1.414,73.004,0.162,71.373,0.704,86.823,306.637,70.618,0.954,70.618
105680,b,73.78,12.147,42.006,0.416,2.207,99.841,0.872,-0.263,31.274,2.001,27.286,1.781,54.294,144.877,41.281,2.053,41.281
105683,b,81.076,83.251,38.974,2.56,19.817,107.868,1.158,-0.781,26.041,-1.403,30.167,0.833,55.039,170.797,51.66,-0.817,51.66
105706,b,79.702,56.674,32.517,1.415,15.516,135.309,0.662,-1.067,53.279,0.324,35.28,0.565,72.532,178.475,46.75,-0.479,46.75
105932,b,75.403,67.145,82.209,3.169,24.202,111.293,1.424,-1.413,21.451,1.27,30.552,-0.303,90.07,127.998,59.29,-0.688,59.29
105941,b,71.243,107.055,50.305,3.005,18.18,135.642,0.66,-1.414,60.97,-0.271,40.27,0.561,61.319,181.609,34.401,1.528,34.401
105944,b,76.829,98.904,92.777,3.07,24.896,174.945,3.307,-1.411,24.222,0.778,80.102,-0.227,59.072,281.268,70.621,-2.681,70.621
105955,b,74.21,41.102,33.595,1.168,35.256,105.701,0.69,-0.546,40.924,-0.841,28.238,-1.881,58.539,235.629,36.54,-1.288,36.54
106065,b,129.315,151.117,0.935,2.199,89.234,256.216,0.864,-1.411,89.909,0.61,77.709,0.992,79.37,115.566,88.598,1.073,88.598
106100,b,142.769,60.618,66.618,1.4,12.824,154.893,3.553,-0.578,21.723,0.316,77.181,1.59,80.593,153.828,55.99,-0.967,55.99
106122,b,54.438,242.118,32.417,4.608,1.703,89.877,1.462,-1.158,23.237,-1.856,33.969,2.449,39.45,67.601,32.672,1.534,32.672
106138,b,86.478,58.752,31.525,1.959,3.369,102.117,0.981,-1.413,35.655,-1.985,34.995,-2.111,70.927,103.624,31.467,-2.847,31.467
