Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_all_pt
105738,b,243.726,137.065,91.356,1.595,123.016,0.657,2.312,23.461,276.793,4.451,-0.113,0.029,30.796,1.582,137.056,0.361,116.498,252.861,72.569,-1.935,36.373,-0.34,108.941
105767,b,57.285,47.866,81.109,0.318,35.973,0.029,1.803,16.132,139.943,1.141,-0.141,0.0,22.922,-2.343,26.161,-0.738,76.854,208.566,58.243,0.393,32.617,0.075,90.861
105799,b,110.153,46.328,62.711,2.118,282.635,1.092,1.029,139.331,301.121,0.505,-0.979,0.337,66.169,-0.424,33.44,-0.384,90.718,205.633,140.416,-2.547,61.095,-0.429,201.512
105889,b,104.273,64.962,49.206,5.358,526.077,-5.947,2.657,16.14,141.123,1.763,-1.399,0.664,24.877,-0.947,43.862,-0.606,72.786,243.493,38.372,-1.57,34.013,3.788,72.385
105928,b,103.187,82.924,20.825,1.878,120.763,1.895,2.278,23.546,141.859,1.262,-1.413,0.739,26.557,-0.068,33.51,2.183,79.986,151.318,43.412,2.605,38.38,0.728,81.792
106105,b,88.045,80.345,53.646,0.78,70.618,2.895,1.804,2.885,158.328,0.957,-0.174,0.942,40.055,-0.052,38.321,-1.841,56.149,170.57,48.108,-2.136,31.844,-1.355,79.952
106126,s,94.965,97.394,70.828,1.065,85.412,1.232,1.534,95.581,308.463,0.389,-1.414,0.482,109.501,-1.14,42.612,-1.686,59.957,227.587,95.597,-0.699,60.754,-1.764,156.351
106188,b,87.566,74.093,24.0,2.876,206.676,-1.906,2.11,26.075,167.935,0.738,-1.411,0.744,40.704,0.296,30.037,-1.185,75.727,215.324,61.084,1.036,36.11,-1.84,97.194
106241,b,129.212,100.953,11.496,3.721,328.96,-1.927,2.696,27.28,198.677,2.481,-1.33,0.432,28.059,-0.776,69.603,0.466,63.14,209.594,57.754,-3.1,43.261,0.622,101.015
106342,b,120.047,72.6,58.212,1.637,147.565,-0.658,3.002,45.457,186.997,2.88,-1.411,0.007,20.009,1.171,57.62,1.943,78.048,307.947,62.013,-0.71,47.355,0.927,109.368
106388,b,132.392,315.646,67.027,0.993,117.573,0.229,4.113,0.777,252.683,1.178,-1.414,0.0,60.74,-0.652,71.546,2.393,92.662,239.139,82.264,0.193,38.133,1.186,120.397
106414,b,96.456,49.743,112.123,4.877,583.998,-5.933,1.743,28.709,159.67,1.785,0.137,0.805,20.322,-0.189,36.268,1.255,98.462,199.079,57.698,2.556,45.382,-2.321,103.08
106525,b,95.073,104.655,29.505,1.083,115.04,1.051,2.616,7.951,172.882,1.235,-1.354,0.134,31.816,-0.261,39.284,1.928,73.662,255.3,61.079,0.618,40.704,1.701,101.782
106528,b,72.689,71.906,72.016,4.056,357.256,-3.399,2.269,29.459,167.124,1.472,-1.183,0.217,29.53,-0.633,43.455,-1.662,80.548,276.533,53.419,-1.183,40.719,2.873,94.138
106587,b,125.022,77.624,55.328,6.084,946.12,-9.207,1.57,7.666,203.375,2.13,-0.721,0.865,33.758,0.254,71.889,1.372,55.232,192.936,67.713,3.257,30.014,-2.827,97.728
106695,s,75.905,74.406,32.894,1.096,96.131,10.256,2.65,51.908,160.699,1.063,-1.413,0.0,35.627,0.536,37.857,-0.1,53.582,192.303,52.66,2.701,34.554,3.797,87.215
106938,b,63.972,53.413,99.08,0.659,73.026,-0.077,3.169,8.86,170.694,1.087,-1.414,0.0,24.162,0.675,26.273,1.364,99.726,196.125,73.324,-0.506,46.936,0.153,120.259
106957,s,84.037,90.383,45.024,2.963,242.187,-0.683,2.375,42.235,203.238,0.893,-1.391,0.242,51.343,0.739,45.839,0.534,79.477,356.065,60.815,-2.711,45.241,0.252,106.056
107202,b,132.382,92.125,18.584,1.203,73.493,2.797,1.996,14.098,152.805,2.344,-0.943,0.0,26.077,2.025,61.133,0.083,71.679,395.941,34.946,-1.176,30.649,-2.379,65.596
107336,b,183.713,77.94,93.037,1.256,180.881,-0.327,1.514,6.185,310.553,5.042,-0.331,0.218,23.27,0.064,117.326,1.034,79.777,422.006,86.849,-0.369,83.109,0.887,169.958
107390,b,66.6,175.558,154.874,0.564,50.274,0.251,2.657,40.307,231.188,1.66,0.159,0.146,40.003,1.607,66.388,-0.966,84.324,376.33,79.919,-0.293,44.879,-0.856,124.797
107576,b,72.224,75.12,88.387,2.691,199.904,-0.495,3.229,16.908,174.913,1.875,-1.414,0.915,22.898,1.992,42.934,0.746,83.911,183.437,72.437,2.493,36.645,-0.198,109.082
107812,s,148.842,74.087,48.231,6.282,1775.26,-9.621,1.889,123.332,263.965,1.55,-1.324,0.482,36.393,-1.88,56.403,-2.187,103.648,214.873,123.721,-2.646,47.449,3.637,171.17
107869,b,137.667,88.66,49.472,2.207,144.008,-0.259,1.94,11.323,203.453,2.486,-1.404,0.023,32.323,-0.415,80.357,-1.169,78.364,219.162,46.825,2.083,43.949,-0.124,90.774
107991,b,40.796,23.558,201.015,0.063,87.94,2.252,0.848,0.912,277.271,1.669,0.424,0.0,22.044,1.004,36.797,0.836,160.839,319.484,145.527,1.469,72.902,1.532,218.429
108262,b,81.933,46.612,77.246,0.172,34.583,0.083,1.321,30.857,145.682,2.227,-0.267,0.731,23.011,1.343,51.239,0.253,60.436,238.631,40.265,0.387,31.166,0.215,71.431
108277,b,146.335,327.602,45.056,0.173,23.515,7.874,4.192,19.558,185.812,4.148,-1.021,0.0,22.984,2.237,95.344,-1.654,56.156,318.646,33.896,-2.894,33.588,-2.721,67.484
108332,b,123.706,213.049,22.462,2.3,166.923,-1.321,3.049,26.044,232.959,1.448,-1.414,0.062,54.624,-0.376,79.075,1.871,64.509,294.206,50.723,1.104,48.537,-1.197,99.26
108400,b,84.837,50.141,93.645,1.786,174.5,-0.282,2.53,42.972,180.865,1.592,-1.407,0.754,20.144,-0.81,32.066,-0.244,105.889,271.844,81.463,-1.612,47.191,0.175,128.654
108410,b,63.44,87.432,119.605,1.519,106.52,-0.517,1.924,5.289,211.024,2.251,0.075,0.0,26.344,0.059,59.301,1.946,60.975,252.021,64.013,-1.004,61.366,0.515,125.379
108506,b,113.223,56.365,24.428,5.161,480.142,-5.013,1.284,4.359,166.618,1.061,-1.271,0.36,45.613,-1.21,48.395,-1.324,67.656,191.308,39.266,-1.298,33.344,3.863,72.61
108573,b,94.904,75.065,102.491,4.018,435.417,-2.329,1.817,2.343,208.583,2.271,-0.423,0.56,26.618,-1.177,60.457,0.223,85.926,249.367,77.162,0.702,44.346,-3.315,121.509
108634,b,147.374,152.642,45.706,0.346,213.498,4.019,2.795,0.904,373.745,2.07,-1.411,0.0,52.23,-0.475,108.125,-0.998,66.723,421.815,109.039,-1.839,104.351,-2.185,213.39
108638,b,83.081,96.694,18.454,0.731,154.502,0.002,2.713,1.225,201.803,1.51,-1.235,0.0,22.778,0.633,34.385,-1.947,56.153,232.27,80.778,-0.002,63.862,-0.733,144.64
108639,b,75.949,97.584,110.086,0.348,85.464,0.066,2.611,47.711,191.107,1.563,-0.103,0.0,23.833,0.757,37.257,-1.731,99.165,319.906,96.04,-0.484,33.977,-0.136,130.017
108682,b,177.372,57.043,76.401,3.017,310.078,-0.035,1.118,17.32,282.011,4.08,-1.251,0.346,26.513,0.249,108.174,0.058,88.152,451.5,106.502,0.012,40.822,-3.005,147.324
108792,b,90.423,33.127,49.026,1.698,124.95,0.182,0.991,3.714,164.997,1.355,-0.311,0.0,27.903,-0.698,37.819,-1.605,67.573,169.562,63.554,1.8,35.721,0.101,99.275
108802,b,114.602,67.362,11.235,4.192,527.306,-4.106,1.475,114.986,229.634,0.961,-1.359,0.524,45.046,2.362,43.302,1.15,77.473,231.361,98.221,1.559,43.065,-2.633,141.286
108849,s,106.982,71.835,62.923,6.57,2148.191,-10.236,2.081,97.396,241.967,0.998,-0.93,0.6,38.818,0.733,38.733,1.6,73.945,134.429,99.633,2.539,64.783,-4.031,164.416
108928,s,98.197,91.982,43.078,6.952,1774.826,-11.394,2.02,82.015,228.544,0.711,-1.34,0.705,64.089,-1.455,45.544,-1.224,56.616,169.293,82.325,-2.646,36.586,4.306,118.911
108948,b,73.62,17.665,66.938,2.09,108.821,-1.085,0.708,25.215,131.797,1.379,-0.314,0.873,21.628,-0.423,29.826,-0.302,75.082,252.733,43.84,1.127,36.502,-0.962,80.342
109216,s,80.333,74.376,37.198,4.442,638.882,-4.802,2.119,120.479,244.272,0.517,-1.377,0.49,55.26,-0.652,28.551,-1.514,88.853,122.669,122.004,2.582,38.458,-1.86,160.462
109262,b,54.992,81.774,86.165,1.985,93.308,-0.675,2.477,27.749,160.533,0.544,-1.235,0.26,57.912,2.059,31.487,1.71,122.601,200.287,39.692,1.55,31.441,-0.435,71.134
109321,b,132.669,105.66,105.748,0.794,66.799,0.028,3.03,5.195,214.292,1.335,1.413,0.66,44.128,0.385,58.904,-0.174,104.501,223.0,67.372,-0.034,43.888,-0.828,111.26
109356,b,89.537,87.94,23.077,0.569,80.356,10.319,2.446,0.604,164.4,1.018,-1.39,0.0,42.02,-1.223,42.768,-0.23,54.082,161.576,48.529,-2.94,31.083,-3.509,79.611
109475,b,72.244,22.624,60.462,2.087,145.911,-0.994,0.789,20.459,155.844,0.868,-0.39,0.213,31.349,-1.869,27.226,-1.604,76.041,188.61,64.575,-1.35,32.693,0.736,97.268
109571,b,52.633,85.051,41.77,0.863,84.337,-0.171,3.242,0.892,142.549,0.915,-1.406,0.799,30.09,-1.847,27.527,0.08,56.688,167.695,46.005,-0.556,38.929,0.307,84.933
109610,b,97.217,19.538,77.324,0.504,40.426,8.608,0.433,0.591,173.975,1.048,-0.118,0.0,43.951,-1.477,46.057,-1.816,62.752,174.796,45.969,-2.693,38.0,-3.197,83.968
109866,b,73.41,57.782,42.771,2.509,163.009,4.461,2.798,29.539,147.148,1.813,-1.414,0.98,21.515,1.955,39.011,2.278,52.86,192.949,50.629,1.202,35.993,3.711,86.623
109940,b,83.061,39.832,17.484,0.024,113.958,4.03,1.22,4.822,183.088,0.704,-1.278,0.0,40.356,-0.344,28.417,-0.89,72.34,238.38,60.589,-2.019,53.726,-1.996,114.315
110135,b,89.385,49.634,26.445,2.766,173.052,-1.812,1.753,1.788,149.232,1.724,-1.404,0.676,23.734,-1.803,40.914,-1.181,61.583,149.948,53.213,-1.699,31.371,1.067,84.584
110232,b,74.303,51.817,82.911,0.525,43.231,0.15,1.945,3.525,146.534,1.474,-0.872,0.92,22.927,-0.753,33.793,0.392,93.145,190.098,54.789,0.205,35.025,0.73,89.815
110271,b,133.42,78.913,115.484,2.145,348.667,3.848,1.793,46.281,320.342,1.505,0.105,0.676,37.413,-0.532,56.325,-1.564,98.395,355.617,139.318,-3.308,87.286,-1.163,226.604
110358,b,81.093,72.139,11.694,1.053,79.218,0.5,2.581,1.066,127.182,1.74,-1.324,0.001,21.062,-2.261,36.647,-0.468,47.345,120.801,38.352,1.408,31.121,0.355,69.473
110390,b,91.58,30.936,75.6,5.934,1255.915,-7.775,1.153,2.727,194.746,1.549,-0.124,0.589,22.718,-1.302,35.186,-1.143,72.239,237.931,91.237,-1.953,45.605,3.981,136.843
110432,s,127.103,59.87,95.161,2.752,525.521,0.072,1.749,218.014,356.6,0.745,-1.414,0.719,45.181,-2.188,33.675,-2.193,145.121,192.053,200.955,-2.778,76.788,-0.026,277.743
110630,b,111.239,66.053,82.33,1.823,115.11,-0.786,1.201,42.597,214.32,0.93,-0.566,0.701,58.213,1.437,54.155,0.755,96.323,304.951,55.678,-0.7,46.275,1.123,101.953
110728,b,111.788,62.024,38.492,0.26,137.111,8.171,1.591,131.042,246.949,0.829,-1.379,0.0,44.76,-0.943,37.112,-1.787,101.653,188.498,129.05,2.732,36.026,2.991,165.076
110922,s,69.03,66.826,74.601,1.654,161.555,2.573,1.593,81.013,244.725,1.335,-0.571,0.329,38.652,-0.222,51.603,-0.933,60.668,177.543,103.617,-2.632,50.852,-0.978,154.469
110996,b,79.833,61.647,72.015,0.279,63.477,0.307,1.17,28.392,192.646,0.518,-0.428,0.0,72.342,-0.381,37.475,0.52,65.307,200.516,49.642,-0.71,33.187,-0.432,82.83
111016,b,64.554,270.766,107.504,1.123,81.683,0.581,4.606,4.218,171.392,1.171,-0.107,0.0,26.476,-2.247,31.001,2.258,100.036,198.164,61.258,-1.508,52.656,-0.385,113.914
111050,s,113.332,100.757,37.234,1.083,151.847,1.773,2.477,42.992,212.728,1.795,-0.56,0.097,24.354,1.8,43.71,-0.609,75.298,352.682,103.281,-1.979,41.382,-0.896,144.663
111065,b,146.621,142.762,82.35,1.087,62.863,1.696,1.631,7.07,279.605,1.184,-1.405,0.0,85.275,-0.359,100.953,0.425,58.637,372.537,62.392,-0.868,30.986,-1.954,93.378
111067,b,47.222,111.947,59.597,0.277,69.692,-0.017,2.19,23.073,209.997,0.505,-0.685,0.0,87.881,0.587,44.345,0.884,88.961,334.247,42.619,-0.182,35.152,0.094,77.771
111069,s,170.49,58.987,325.464,1.952,333.701,-0.912,2.126,14.561,402.24,1.004,1.099,0.419,33.33,1.028,33.471,0.708,305.285,521.253,265.37,0.774,70.069,-1.178,335.439
111195,b,91.544,106.765,81.471,0.579,118.264,5.694,3.801,16.583,194.523,1.524,1.414,0.0,25.313,-1.578,38.575,0.681,82.546,303.756,93.391,2.693,37.243,2.114,130.634
111266,b,80.026,213.341,35.076,2.326,170.354,6.294,4.647,26.055,164.459,1.898,-1.414,0.536,20.465,2.176,38.84,-1.847,56.362,267.602,68.202,-1.602,36.952,-3.928,105.154
